datum,gesamt,b_kredit,b_makro,b_marktstruktur,b_bewertung,i_hy,i_hy_d4w,i_curve,i_corr_sb,i_corr_pair,i_ew_gap,i_cape,i_top10,i_margin,i_hs_fcf,i_skew,i_tariff,i_gpr
2026-08-05,0,1,0,0,1,273,6,74,0.22,0.07,2.7,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-06,0,1,0,0,1,273,6,74,0.22,0.07,2.7,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-07,0,1,0,0,1,275,5,79,0.22,0.08,1.9,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-10,0,1,0,0,1,271,1,78,0.23,0.07,1.9,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-11,0,1,0,0,1,270,1,83,0.23,0.08,1.0,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-12,0,1,0,0,1,270,1,81,0.23,0.08,0.3,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-13,0,1,0,0,1,272,0,81,0.23,0.08,0.6,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-14,0,1,0,0,1,271,0,76,0.24,0.08,1.9,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-17,0,1,0,0,1,267,-6,85,0.24,0.07,1.3,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-18,0,1,0,0,1,267,-6,85,0.24,0.07,1.3,40.9,35.6,49.0,6.8,150.2,7.2,
2026-08-19,1,1,1,0,1,275,6,85,0.23,0.07,1.2,40.9,35.6,38.5,6.8,138.36,11.0,92.5
2026-08-20,1,1,1,0,1,275,6,79,0.23,0.07,1.3,40.9,35.6,38.5,6.8,138.36,11.0,92.5
